---,Enemy,Allowed Wave,Health,Damage,Soul,Elite?,Scale HP to level?,MoveSpeed,SoulAmount
Spike_5,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',4,25,17,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,400,45
Spike_6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',4,25,17,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,405,46
Spike_7,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',5,32,21,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,410,47
Spike_8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',5,32,21,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,415,48
Spike_9,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',6,40,25,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,420,49
Spike_10,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',6,40,25,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,425,50
Spike_11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',7,50,29,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,430,51
Spike_12,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',7,50,29,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,435,52
Biohazard,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',8,62,33,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,440,53
Biohazard_0,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',8,62,33,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,445,54
Biohazard_1,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',9,75,37,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,450,55
Biohazard_2,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',9,75,37,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,455,56
Biohazard_3,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',10,90,42,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,460,57
Biohazard_4,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',10,90,42,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,465,58
Biohazard_5,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',11,108,47,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,470,59
Biohazard_6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',11,108,47,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,475,60
Biohazard_7,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',12,128,52,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,480,61
Biohazard_8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',12,128,52,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,485,62
Biohazard_9,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',13,150,57,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,490,63
Biohazard_10,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',13,150,57,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,495,64
Biohazard_11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',14,175,63,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,500,65
Biohazard_12,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Biohazard.BP_Enemy_Biohazard_C',14,175,63,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,505,66
Avalanche,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',15,200,70,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,510,67
Avalanche_0,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',15,200,70,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,515,68
Avalanche_1,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',16,230,78,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,520,69
Avalanche_2,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',16,230,78,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,525,70
Avalanche_3,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',17,260,87,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,530,71
Avalanche_4,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',17,260,87,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,535,72
Avalanche_5,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',18,295,97,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,540,73
Avalanche_6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',18,295,97,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,545,74
Avalanche_7,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',19,340,108,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,550,75
Avalanche_8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',19,340,108,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,555,76
Avalanche_9,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',20,380,120,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,560,77
Avalanche_10,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',20,380,120,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,565,78
Avalanche_11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',21,425,133,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,570,79
Avalanche_12,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Avalanche.BP_Enemy_Avalanche_C',21,425,133,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,575,80
